x_gal_kpc,y_gal_kpc,z_gal_kpc,R_kpc,feh,componente,x_hel_kpc,y_hel_kpc,z_hel_kpc,d_hel_kpc,l_deg,b_deg
2.10488,-0.58352,-0.21593,2.18426,0.29799,0,10.30488,-0.58352,-0.23673,10.32410,356.75904,-1.31390
-3.64968,-0.42985,0.88111,3.67490,0.11962,0,4.55032,-0.42985,0.86031,4.65084,354.60356,10.65991
1.30611,1.18083,-1.97147,1.76076,0.31687,0,9.50611,1.18083,-1.99227,9.78415,7.08091,-11.74888
0.53019,1.46447,0.16973,1.55749,0.33282,0,8.73019,1.46447,0.14893,8.85342,9.52260,0.96385
-3.32460,-0.91992,0.04929,3.44953,0.23736,0,4.87540,-0.91992,0.02849,4.96151,349.31465,0.32903
-5.66389,1.53552,-0.18309,5.86834,-0.00924,0,2.53611,1.53552,-0.20389,2.97174,31.19330,-3.93411
-0.20966,0.43085,-1.02636,0.47916,0.46189,0,7.99034,0.43085,-1.04716,8.07017,3.08648,-7.45552
-0.12232,-4.13865,-1.04553,4.14046,0.23180,1,8.07768,-4.13865,-1.06633,9.13862,332.87134,-6.70075
0.38515,0.50885,0.84309,0.63818,0.47236,0,8.58515,0.50885,0.82229,8.63944,3.39198,5.46161
1.31752,3.75017,1.27563,3.97488,0.22717,0,9.51752,3.75017,1.25483,10.30639,21.50583,6.99326
1.46957,1.01710,0.25359,1.78722,0.47242,0,9.66957,1.01710,0.23279,9.72571,6.00462,1.37154
-3.71802,-1.89346,0.10205,4.17239,0.23716,0,4.48198,-1.89346,0.08125,4.86621,337.09789,0.95666
-0.11321,-0.26035,0.18107,0.28390,0.35767,0,8.08679,-0.26035,0.16027,8.09257,358.15605,1.13481
-4.17321,6.35625,2.39874,7.60379,0.01297,0,4.02679,6.35625,2.37794,7.89124,57.64505,17.53806
0.59772,0.25221,1.10948,0.64875,0.42496,0,8.79772,0.25221,1.08868,8.86841,1.64207,7.05138
-0.69219,-0.32490,-0.06469,0.76465,0.42467,0,7.50781,-0.32490,-0.08549,7.51532,357.52207,-0.65180
0.99589,-0.33964,0.36243,1.05222,0.40617,0,9.19589,-0.33964,0.34163,9.20850,357.88478,2.12615
-1.59782,3.83710,0.09139,4.15649,0.17098,0,6.60218,3.83710,0.07059,7.63657,30.16461,0.52963
4.54972,1.34097,-0.00653,4.74323,0.26002,0,12.74972,1.34097,-0.02733,12.82008,6.00411,-0.12214
-1.35836,0.16517,0.15804,1.36837,0.33564,0,6.84164,0.16517,0.13724,6.84501,1.38294,1.14885
1.14971,1.06191,-0.04739,1.56508,0.39266,0,9.34971,1.06191,-0.06819,9.41006,6.47969,-0.41520
0.65409,-1.08411,-0.48008,1.26615,0.39469,0,8.85409,-1.08411,-0.50088,8.93426,353.01935,-3.21384
6.67422,3.12812,0.27692,7.37091,-0.03056,0,14.87422,3.12812,0.25612,15.20175,11.87651,0.96535
-1.13114,3.29006,-0.54109,3.47908,0.29002,0,7.06886,3.29006,-0.56189,7.81722,24.95870,-4.12188
0.19465,-0.05368,-0.12529,0.20192,0.45112,0,8.39465,-0.05368,-0.14609,8.39609,359.63364,-0.99702
-2.17833,-7.47129,-0.19577,7.78237,-0.01091,0,6.02167,-7.47129,-0.21657,9.59831,308.86795,-1.29287
0.87036,0.24272,0.69513,0.90357,0.41527,0,9.07036,0.24272,0.67433,9.09863,1.53284,4.25026
2.39368,-0.26241,-0.03987,2.40802,0.35277,0,10.59368,-0.26241,-0.06067,10.59710,358.58106,-0.32801
0.44008,-0.26046,-0.17267,0.51138,0.49368,0,8.64008,-0.26046,-0.19347,8.64617,358.27334,-1.28219
-0.56286,0.03069,0.67847,0.56369,0.35868,0,7.63714,0.03069,0.65767,7.66547,0.23021,4.92182
-3.81779,1.22074,-0.14626,4.00821,0.24030,0,4.38221,1.22074,-0.16706,4.55213,15.56604,-2.10318
-0.83888,-0.08725,-0.44021,0.84341,0.36226,0,7.36112,-0.08725,-0.46101,7.37606,359.32090,-3.58337
0.27588,-0.17373,-1.09140,0.32602,0.35697,0,8.47588,-0.17373,-1.11220,8.55030,358.82576,-7.47407
-2.25907,-0.59121,-0.23183,2.33515,0.24064,0,5.94093,-0.59121,-0.25263,5.97562,354.31696,-2.42304
-1.50360,3.84326,-0.34657,4.12692,0.27216,0,6.69640,3.84326,-0.36737,7.72965,29.85277,-2.72412
4.17215,-2.94839,0.54234,5.10880,0.25817,0,12.37215,-2.94839,0.52154,12.72930,346.59593,2.34815
0.21072,1.37680,-0.32163,1.39284,0.23902,0,8.41072,1.37680,-0.34243,8.52954,9.29666,-2.30086
0.19257,-0.31094,-0.02132,0.36574,0.40995,0,8.39257,-0.31094,-0.04212,8.39844,357.87820,-0.28738
0.58996,4.12597,-0.76556,4.16793,0.07091,0,8.78996,4.12597,-0.78636,9.74194,25.14515,-4.62989
-2.22993,-4.78445,1.47680,5.27859,0.14237,0,5.97007,-4.78445,1.45600,7.78798,321.29114,10.77512
0.04874,0.08374,0.94901,0.09689,0.40665,0,8.24874,0.08374,0.92821,8.30122,0.58164,6.42001
0.29611,0.15094,-0.05052,0.33236,0.33827,0,8.49611,0.15094,-0.07132,8.49775,1.01783,-0.48090
-1.07933,-2.06163,-0.07387,2.32707,0.38203,0,7.12067,-2.06163,-0.09467,7.41371,343.85284,-0.73164
5.79671,-6.24009,-1.46098,8.51708,-0.13628,0,13.99671,-6.24009,-1.48178,15.39618,335.97145,-5.52288
-3.01564,4.21095,-0.19892,5.17940,0.04986,0,5.18436,4.21095,-0.21972,6.68266,39.08491,-1.88415
-0.90762,0.62145,-0.41294,1.09999,0.49365,0,7.29238,0.62145,-0.43374,7.33165,4.87090,-3.39162
0.20557,-0.26804,-0.46472,0.33780,0.51224,0,8.40557,-0.26804,-0.48552,8.42385,358.17354,-3.30413
-0.14997,0.18243,-0.54256,0.23616,0.41921,0,8.05003,0.18243,-0.56336,8.07178,1.29820,-4.00215
0.33769,-0.17133,-0.45419,0.37866,0.37241,0,8.53769,-0.17133,-0.47499,8.55261,358.85039,-3.18373
1.72904,-1.16227,0.54035,2.08337,0.33605,0,9.92904,-1.16227,0.51955,10.01032,353.32346,2.97507
0.22767,0.25969,-0.29691,0.34536,0.52741,0,8.42767,0.25969,-0.31771,8.43765,1.76495,-2.15788
-0.22951,-0.12465,0.64516,0.26118,0.30188,0,7.97049,-0.12465,0.62436,7.99588,359.10401,4.47851
3.32471,1.47483,0.28491,3.63714,0.30832,0,11.52471,1.47483,0.26411,11.62169,7.29256,1.30220
0.46976,-0.88162,-0.58174,0.99896,0.43737,0,8.66976,-0.88162,-0.60254,8.73527,354.19361,-3.95526
-0.08833,0.52469,-0.29740,0.53208,0.32043,0,8.11167,0.52469,-0.31820,8.13485,3.70096,-2.24173
0.06053,0.12401,0.38271,0.13800,0.45938,0,8.26053,0.12401,0.36191,8.26938,0.86010,2.50838
-0.92221,3.27888,-0.99679,3.40610,0.36815,0,7.27779,3.27888,-1.01759,8.04691,24.25310,-7.26494
0.67537,-0.39370,0.22171,0.78174,0.39843,0,8.87537,-0.39370,0.20091,8.88637,357.46010,1.29551
-0.12238,-0.04356,-0.16425,0.12990,0.43030,0,8.07762,-0.04356,-0.18505,8.07986,359.69106,-1.31232
-1.92728,1.19545,1.87608,2.26794,0.29216,0,6.27272,1.19545,1.85528,6.64967,10.79002,16.20069
0.18422,-0.20389,0.27922,0.27478,0.39485,0,8.38422,-0.20389,0.25842,8.39068,358.60696,1.76490
-1.19343,1.06419,-0.23144,1.59899,0.28027,0,7.00657,1.06419,-0.25224,7.09141,8.63632,-2.03840
-1.50254,2.29618,1.02878,2.74410,0.27865,0,6.69746,2.29618,1.00798,7.15153,18.92395,8.10255
2.48369,0.23252,-0.04150,2.49455,0.32027,0,10.68369,0.23252,-0.06230,10.68641,1.24680,-0.33401
-0.13541,0.69395,0.56831,0.70704,0.42676,0,8.06459,0.69395,0.54751,8.11289,4.91811,3.86964
0.06428,0.29478,-0.36586,0.30171,0.40865,0,8.26428,0.29478,-0.38666,8.27857,2.04281,-2.67704
1.25747,0.95719,-0.59003,1.58033,0.32514,0,9.45747,0.95719,-0.61083,9.52539,5.77925,-3.67672
-0.04283,-0.18854,-0.29179,0.19335,0.36812,0,8.15717,-0.18854,-0.31259,8.16534,358.67592,-2.19398
-2.30269,5.14368,0.23147,5.63559,0.05409,0,5.89731,5.14368,0.21067,7.82816,41.09518,1.54211
-0.65216,-0.80071,0.09802,1.03269,0.34305,1,7.54784,-0.80071,0.07722,7.59059,353.94442,0.58291
0.15209,0.97688,0.04687,0.98864,0.35028,1,8.35209,0.97688,0.02607,8.40906,6.67111,0.17761
-1.95495,-0.84229,1.04512,2.12868,0.45753,0,6.24505,-0.84229,1.02432,6.38431,352.31873,9.23265
-0.58375,-1.32872,-0.57347,1.45129,0.33729,0,7.61625,-1.32872,-0.59427,7.75409,350.10387,-4.39540
-3.05757,1.15948,-0.85832,3.27004,0.26168,0,5.14243,1.15948,-0.87912,5.34432,12.70620,-9.46797
-0.80916,-1.78386,-0.16130,1.95880,0.35536,0,7.39084,-1.78386,-0.18210,7.60525,346.43057,-1.37202
0.01234,0.22907,0.44842,0.22941,0.33903,0,8.21234,0.22907,0.42762,8.22666,1.59779,2.97959
-1.76071,2.44441,-0.19552,3.01251,0.27049,0,6.43929,2.44441,-0.21632,6.89103,20.78719,-1.79891
-1.42436,-3.59674,0.30256,3.86851,0.21527,0,6.77564,-3.59674,0.28176,7.67628,332.03909,2.10357
-0.14306,-0.34425,-0.19857,0.37280,0.36021,1,8.05694,-0.34425,-0.21937,8.06728,357.55338,-1.55819
1.08527,1.30609,-0.27359,1.69815,0.38901,0,9.28527,1.30609,-0.29439,9.38130,8.00687,-1.79828
2.91993,-1.36037,0.09488,3.22128,0.34622,0,11.11993,-1.36037,0.07408,11.20308,353.02529,0.37889
-2.08114,0.83568,0.44737,2.24266,0.15726,0,6.11886,0.83568,0.42657,6.19038,7.77701,3.95131
-0.69920,0.63249,0.44280,0.94283,0.30331,0,7.50080,0.63249,0.42200,7.53924,4.81997,3.20872
0.70930,1.35422,-0.24202,1.52873,0.40219,0,8.90930,1.35422,-0.26282,9.01547,8.64285,-1.67051
0.03557,0.07675,-0.49228,0.08459,0.36125,0,8.23557,0.07675,-0.51308,8.25189,0.53396,-3.56480
-0.43121,0.90934,-0.09778,1.00640,0.52400,0,7.76879,0.90934,-0.11858,7.82272,6.67612,-0.86851
-0.59560,-0.49201,0.68758,0.77254,0.33628,0,7.60440,-0.49201,0.66678,7.64941,356.29809,5.00065
-1.09113,1.88522,-0.19315,2.17822,0.21111,0,7.10887,1.88522,-0.21395,7.35770,14.85255,-1.66627
-0.70313,0.18073,-0.56635,0.72599,0.35764,0,7.49687,0.18073,-0.58715,7.52200,1.38101,-4.47696
0.10538,-0.05595,0.00050,0.11931,0.38284,0,8.30538,-0.05595,-0.02030,8.30559,359.61404,-0.14007
-5.72463,-7.20227,0.30048,9.20022,0.02063,0,2.47537,-7.20227,0.27968,7.62092,288.96752,2.10315
0.48748,-3.85873,-0.05203,3.88941,0.21992,0,8.68748,-3.85873,-0.07283,9.50618,336.05056,-0.43898
-0.94870,-2.11025,0.14866,2.31370,0.37410,1,7.25130,-2.11025,0.12786,7.55320,343.77411,0.96998
2.19480,0.93936,1.78054,2.38737,0.45018,0,10.39480,0.93936,1.75974,10.58446,5.16368,9.57024
1.00229,-0.72039,0.12951,1.23432,0.41025,0,9.20229,-0.72039,0.10871,9.23108,355.52378,0.67477
-4.25683,1.74322,-0.10256,4.59993,0.20434,0,3.94317,1.74322,-0.12336,4.31308,23.84957,-1.63894
-8.30421,2.55919,-0.19210,8.68962,0.06199,0,-0.10421,2.55919,-0.21290,2.57014,92.33190,-4.75165
0.61427,4.01923,-1.70885,4.06590,0.18720,0,8.81427,4.01923,-1.72965,9.84060,24.51256,-10.12326
0.08080,-0.01700,0.28136,0.08257,0.41423,0,8.28080,-0.01700,0.26056,8.28492,359.88234,1.80227
-3.07051,6.59430,1.04843,7.27412,0.03557,0,5.12949,6.59430,1.02763,8.41740,52.12181,7.01239
-0.01881,7.95914,-0.33582,7.95916,0.08306,0,8.18119,7.95914,-0.35662,11.41958,44.21180,-1.78958
0.31038,0.32599,-0.36033,0.45011,0.46009,0,8.51038,0.32599,-0.38113,8.52515,2.19362,-2.56237
-0.30389,0.26008,-0.44539,0.39999,0.42321,0,7.89611,0.26008,-0.46619,7.91413,1.88652,-3.37704
-1.59986,0.23246,-0.36845,1.61666,0.42722,0,6.60014,0.23246,-0.38925,6.61569,2.01711,-3.37311
-0.48290,-0.09263,-2.02469,0.49170,0.45846,0,7.71710,-0.09263,-2.04549,7.98412,359.31233,-14.84440
1.85928,0.52226,-0.61343,1.93123,0.31535,0,10.05928,0.52226,-0.63423,10.09277,2.97202,-3.60284
-1.58480,-0.87499,1.12156,1.81030,0.22823,0,6.61520,-0.87499,1.10076,6.76300,352.46526,9.36724
0.82508,-0.80575,-1.97052,1.15326,0.39327,0,9.02508,-0.80575,-1.99132,9.27721,354.89821,-12.39476
-0.23426,0.21726,1.38012,0.31949,0.41821,0,7.96574,0.21726,1.35932,8.08381,1.56228,9.68046
1.32146,-2.13257,-0.12456,2.50881,0.37600,0,9.52146,-2.13257,-0.14536,9.75844,347.37552,-0.85348
-0.15040,0.23106,-0.72478,0.27569,0.44971,0,8.04960,0.23106,-0.74558,8.08736,1.64416,-5.28968
0.86830,2.50001,0.74277,2.64651,0.35214,0,9.06830,2.50001,0.72197,9.43427,15.41285,4.38891
4.94693,3.15494,0.05477,5.86735,0.09870,0,13.14693,3.15494,0.03397,13.52023,13.49440,0.14395
-0.07903,-0.92618,0.09760,0.92955,0.34421,0,8.12097,-0.92618,0.07680,8.17397,353.49361,0.53833
-0.05087,-6.34892,-0.67367,6.34913,0.05850,0,8.14913,-6.34892,-0.69447,10.35372,322.07813,-3.84597
0.60344,-0.03527,0.06915,0.60447,0.60254,0,8.80344,-0.03527,0.04835,8.80364,359.77045,0.31468
-1.60838,-0.40788,0.44001,1.65930,0.47412,0,6.59162,-0.40788,0.41921,6.61752,356.45911,3.63207
-0.88848,0.40491,0.12397,0.97639,0.19932,0,7.31152,0.40491,0.10317,7.32345,3.16981,0.80719
1.40909,-1.70235,0.45555,2.20987,0.36183,0,9.60909,-1.70235,0.43475,9.76840,349.95371,2.55082
-0.29652,-1.54733,0.12650,1.57548,0.26143,0,7.90348,-1.54733,0.10570,8.05422,348.92285,0.75197
1.32910,0.23708,-0.07065,1.35008,0.40574,0,9.52910,0.23708,-0.09145,9.53249,1.42521,-0.54966
-9.04028,-2.51842,0.77877,9.38452,0.03213,0,-0.84028,-2.51842,0.75797,2.76098,251.54843,15.93398
-0.31960,0.15698,0.05559,0.35607,0.41514,0,7.88040,0.15698,0.03479,7.88204,1.14122,0.25286
-1.66757,-0.59168,0.35761,1.76943,0.45782,0,6.53243,-0.59168,0.33681,6.56781,354.82454,2.93954
-0.09273,0.02845,0.60298,0.09700,0.42155,0,8.10727,0.02845,0.58218,8.12819,0.20108,4.10730
0.31254,0.03728,0.12361,0.31475,0.44842,0,8.51254,0.03728,0.10281,8.51324,0.25093,0.69195
-0.20410,1.40849,-0.65849,1.42320,0.43454,0,7.99590,1.40849,-0.67929,8.14738,9.99025,-4.78260
-6.06914,-5.57531,0.78232,8.24127,-0.13504,0,2.13086,-5.57531,0.76152,6.01702,290.91666,7.27089
-0.71283,-0.38645,0.93870,0.81084,0.40349,0,7.48717,-0.38645,0.91790,7.55312,357.04528,6.98018
0.27282,0.44048,-0.27487,0.51813,0.43255,0,8.47282,0.44048,-0.29567,8.48942,2.97597,-1.99588
5.48690,7.58811,2.22136,9.36405,-0.15062,0,13.68690,7.58811,2.20056,15.80358,29.00430,8.00411
-0.47221,-0.53817,0.72299,0.71596,0.45152,0,7.72779,-0.53817,0.70219,7.77827,356.01631,5.17947
-0.03242,-0.02768,0.56931,0.04262,0.37406,0,8.16758,-0.02768,0.54851,8.18603,359.80586,3.84205
-0.13116,0.13657,-0.65143,0.18935,0.47978,0,8.06884,0.13657,-0.67223,8.09795,0.96970,-4.76175
-2.66510,-0.96123,1.75423,2.83315,0.27631,0,5.53490,-0.96123,1.73343,5.87911,350.14785,17.14828
0.09369,-0.38388,-0.15819,0.39514,0.45208,0,8.29369,-0.38388,-0.17899,8.30450,357.34993,-1.23503
-10.47706,-9.44193,-0.35483,14.10386,-0.30530,0,-2.27706,-9.44193,-0.37563,9.71988,256.44117,-2.21480
-0.54930,1.25846,0.11149,1.37312,0.34715,0,7.65070,1.25846,0.09069,7.75404,9.34089,0.67013
-0.52884,-9.54497,-0.23098,9.55961,0.02978,0,7.67116,-9.54497,-0.25178,12.24812,308.78836,-1.17790
-4.06064,-0.93714,0.70697,4.16738,0.25085,0,4.13936,-0.93714,0.68617,4.29922,347.24344,9.18392
-1.46579,-0.10787,0.18560,1.46976,0.43847,0,6.73421,-0.10787,0.16480,6.73709,359.08228,1.40167
0.87008,-0.12121,0.33644,0.87848,0.34665,0,9.07008,-0.12121,0.31564,9.07638,359.23438,1.99290
1.36887,0.67127,-0.16487,1.52460,0.32403,0,9.56887,0.67127,-0.18567,9.59418,4.01282,-1.10888
0.38725,1.33059,0.52513,1.38579,0.31308,0,8.58725,1.33059,0.50433,8.70435,8.80788,3.32157
-0.00750,-0.00620,-0.62111,0.00973,0.36915,0,8.19250,-0.00620,-0.64191,8.21761,359.95662,-4.48014
-0.35184,-0.76733,0.15948,0.84415,0.43723,1,7.84816,-0.76733,0.13868,7.88680,354.41582,1.00753
-0.42721,0.81446,-1.47384,0.91971,0.35752,0,7.77279,0.81446,-1.49464,7.95698,5.98184,-10.82675
-3.52023,0.77398,-0.95359,3.60431,0.30693,0,4.67977,0.77398,-0.97439,4.84239,9.39109,-11.60839
1.41074,-0.26247,0.37105,1.43495,0.34810,0,9.61074,-0.26247,0.35025,9.62070,358.43564,2.08635
-0.21767,3.78653,0.52836,3.79278,0.23490,0,7.98233,3.78653,0.50756,8.84946,25.37799,3.28801
0.07406,-0.79173,-0.43289,0.79518,0.56681,0,8.27406,-0.79173,-0.45369,8.32423,354.53413,-3.12432
-0.31298,0.72934,-0.43179,0.79366,0.38071,0,7.88702,0.72934,-0.45259,7.93359,5.28331,-3.27032
-2.10054,-0.23489,-1.05038,2.11363,0.19942,0,6.09946,-0.23489,-1.07118,6.19726,357.79459,-9.95340
0.72971,-0.00856,-0.18928,0.72976,0.41321,0,8.92971,-0.00856,-0.21008,8.93218,359.94508,-1.34769
-0.12345,-0.94278,-0.11116,0.95083,0.44982,0,8.07655,-0.94278,-0.13196,8.13246,353.34194,-0.92977
-2.01195,1.07822,0.41265,2.28265,0.36703,0,6.18805,1.07822,0.39185,6.29349,9.88415,3.56966
-6.06604,0.80167,1.11276,6.11878,0.05337,0,2.13396,0.80167,1.09196,2.52761,20.58976,25.59536
14.69664,1.12935,0.00792,14.73997,-0.36157,0,22.89664,1.12935,-0.01288,22.92448,2.82375,-0.03220
-0.84125,-0.38096,0.03209,0.92349,0.50412,0,7.35875,-0.38096,0.01129,7.36862,357.03646,0.08777
1.11608,-0.56606,0.06336,1.25143,0.35668,0,9.31608,-0.56606,0.04256,9.33336,356.52288,0.26125
-0.18836,-2.24047,-0.48733,2.24837,0.25856,0,8.01164,-2.24047,-0.50813,8.33452,344.37626,-3.49532
0.55480,-0.27689,0.28451,0.62006,0.38222,0,8.75480,-0.27689,0.26371,8.76315,358.18847,1.72444
